"filename", "language", "Markdown", "TypeScript", "JavaScript", "JSON with Comments", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\tsconfig.json", "JSON with Comments", 0, 0, 0, 11, 0, 0, 84, 0, 95
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\types\common\ReturnTypes.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 12, 91
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\types\common\discord.d.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\bootCheck.ts", "TypeScript", 0, 108, 0, 0, 0, 0, 1, 11, 120
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\clean.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 10, 4, 25
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\emailGenerator.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\generateAuditReport.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\queryBuilder.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\sendError.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\tm21c\Desktop\Code Projects\SS HR Automation\utils\ticketGeneration.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 8, 9, 76
"Total", "-", 47, 3046, 8, 11, 73, 2878, 456, 707, 7226
